a8, b6, c8, b6, a8, c7, e6, c7, a8, 
a8, b6, c8, b6, a8, c7, a8, b6, a8, 
a8, b6, c8, b6, a8, c7, a8, c7, a8, 
a8, b6, c8, b6, a8, c7, a6, c7, a8, 
a8, b6, c8, b6, a4, b6, c8, b6, a8, 
a8, b6, c8, b6, a4, b6, c4, b6, a8, 
a8, b6, c8, b6, a4, b6, a8, b6, a8, 
a8, b6, c8, b6, a4, b6, a8, c7, a8, 
a8, b6, c8, b6, a4, b6, a4, b6, a8, 
a8, b6, c8, b6, a4, b6, d7, b6, a8, 
a8, b6, c8, b6, a4, b6, d5, c7, a8, 
a8, b6, c8, b6, a4, b6, d5, b6, a8, 
a8, b6, c8, b6, a4, b2, c4, b6, a8, 
a8, b6, c8, b6, a4, b2, a4, b6, a8, 
a8, b6, c8, b6, a4, c5, d7, b6, a8, 
a8, b6, c8, b6, a4, c5, e6, c7, a8, 
a8, b6, c8, b6, a4, c5, a6, c7, a8, 
a8, b6, c8, b6, a4, c5, a4, b6, a8, 
a8, b6, c8, b6, a4, c3, d5, c7, a8, 
a8, b6, c8, b6, a4, c3, d5, b6, a8, 
a8, b6, c8, b6, a4, c3, b5, c7, a8, 
a8, b6, c8, b6, a4, c3, a4, b6, a8, 
a8, b6, c8, b6, d7, e5, d7, b6, a8, 
a8, b6, c8, b6, d7, e5, c4, b6, a8, 
a8, b6, c8, b6, d7, c5, d7, b6, a8, 
a8, b6, c8, b6, d7, c5, e6, c7, a8, 
a8, b6, c8, b6, d7, c5, a6, c7, a8, 
a8, b6, c8, b6, d7, c5, a4, b6, a8, 
a8, b6, c8, b6, d7, f8, e6, c7, a8, 
a8, b6, c8, b6, d7, f8, d7, b6, a8, 
a8, b6, c8, b6, d7, f6, e8, c7, a8, 
a8, b6, c8, b6, d7, f6, d7, b6, a8, 
a8, b6, c8, b6, d7, f6, d5, c7, a8, 
a8, b6, c8, b6, d7, f6, d5, b6, a8, 
a8, b6, c8, b6, d7, b8, a6, c7, a8, 
a8, b6, c8, b6, d7, b8, d7, b6, a8, 
a8, b6, c8, b6, d7, b6, c8, b6, a8, 
a8, b6, c8, b6, d7, b6, c4, b6, a8, 
a8, b6, c8, b6, d7, b6, a8, b6, a8, 
a8, b6, c8, b6, d7, b6, a8, c7, a8, 
a8, b6, c8, b6, d7, b6, a4, b6, a8, 
a8, b6, c8, b6, d7, b6, d7, b6, a8, 
a8, b6, c8, b6, d7, b6, d5, c7, a8, 
a8, b6, c8, b6, d7, b6, d5, b6, a8, 
a8, b6, c8, b6, d5, e7, d5, c7, a8, 
a8, b6, c8, b6, d5, e7, d5, b6, a8, 
a8, b6, c8, b6, d5, e7, c8, b6, a8, 
a8, b6, c8, b6, d5, e3, d5, c7, a8, 
a8, b6, c8, b6, d5, e3, d5, b6, a8, 
a8, b6, c8, b6, d5, e3, c4, b6, a8, 
